标题：【招新宣传汇总】上海大学2018年学生组织&社团	链接：http://tieba.baidu.com/p/5809656492	创建时间：2018-07	作者：上大吧务组	发帖图片地址:：没图片	回复数量：43	
标题：出个闲置自行车 除了刚买来前三个月偶尔骑过 一直闲置 刹车完	链接：http://tieba.baidu.com/p/5982616434	创建时间：2018-12	作者：莲叶何田...	发帖图片地址:：没图片	最后的回复时间：00:49	回复数量：7	
标题：我是上班簇，初中毕业。想用业余的时间提升下自己的学历，看到上	链接：http://tieba.baidu.com/p/5997797340	创建时间：1-4	作者：贴吧用户_...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：2	
标题：有20考上大新传的同学了吗	链接：http://tieba.baidu.com/p/5834551632	创建时间：2018-08	作者：宠物大精...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：17	
标题：劳动经济学复试准备什么啊，跪求	链接：http://tieba.baidu.com/p/5998209533	创建时间：1-4	作者：挺挺挺婷	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：0	
标题：学长学姐们我想报上大的金属材料工程专业，2020考研，我这小	链接：http://tieba.baidu.com/p/5998173314	创建时间：1-4	作者：别人家的	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：1	
标题：上海大学材料专业复试资料	链接：http://tieba.baidu.com/p/5992148116	创建时间：2018-12	作者：迷恋着谁	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：5	
标题：我现在研一，给大家分享一点我考研的经验	链接：http://tieba.baidu.com/p/5996887549	创建时间：1-3	作者：青山隐与...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：8	
标题：考试过啦～～ 托福，雅思，GMAT免费分享给你们啦！	链接：http://tieba.baidu.com/p/5946332037	创建时间：2018-11	作者：哈哈不知...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：38	
标题：跪求宝山校区校园卡	链接：http://tieba.baidu.com/p/5996845578	创建时间：1-3	作者：雾里看花E...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：8	
标题：2019上海大学艺术插班生 开贴答疑！	链接：http://tieba.baidu.com/p/5806463395	创建时间：2018-07	作者：你咋不爱...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：139	
标题：上大微信群	链接：http://tieba.baidu.com/p/5997938934	创建时间：1-4	作者：名字不存...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：2	
标题：有人找替课吗	链接：http://tieba.baidu.com/p/5648283529	创建时间：2018-04	作者：12345	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：6	
标题：考研想考上海大学的材料专业，请推荐专业方向	链接：http://tieba.baidu.com/p/5998104237	创建时间：1-4	作者：四月8813	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：0	
标题：上海大学最美武术教师:孙敏老师。	链接：http://tieba.baidu.com/p/5923774705	创建时间：2018-10	作者：姚先森乯	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：9	
标题：找个人！上海大学经管学院！大四 李梦菲！！！	链接：http://tieba.baidu.com/p/5998083217	创建时间：1-4	作者：s156030136	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：3	
标题：有没有寒假里想打工的学妹学姐	链接：http://tieba.baidu.com/p/5993120721	创建时间：2018-12	作者：美丽的牛...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：7	
标题：19上大文学考研结束 20考研有问题的可以咨询呀😌😌	链接：http://tieba.baidu.com/p/5991480031	创建时间：2018-12	作者：江晚吟...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：20	
标题：求租一张上海大学宝山区的饭卡一张！	链接：http://tieba.baidu.com/p/5891165457	创建时间：2018-09	作者：zfei901214	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：11	
标题：求租上海大学校园卡	链接：http://tieba.baidu.com/p/5934152255	创建时间：2018-11	作者：南风知我...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：19	
标题：买一张上海大学的校园卡，延长校区的	链接：http://tieba.baidu.com/p/5571526162	创建时间：2018-03	作者：lqn纠结	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：16	
标题：想进上海大学图书馆看看书，一定要学生证吗？	链接：http://tieba.baidu.com/p/5977425170	创建时间：2018-12	作者：991640154y	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：5	
标题：有没有2020新传考研的研友呀?	链接：http://tieba.baidu.com/p/5987650716	创建时间：2018-12	作者：拼嗲时代	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：7	
标题：有没有上大食品工程复试资料啊，各位学长学姐看过来～	链接：http://tieba.baidu.com/p/5997944768	创建时间：1-4	作者：摘一颗无...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：0	
标题：帮初二学生写寒假作业800，有没有愿意的	链接：http://tieba.baidu.com/p/5510086122	创建时间：2018-01	作者：阳光的小...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：24	
标题：考上大美术史论和艺术学理论的可以看一下	链接：http://tieba.baidu.com/p/5671436810	创建时间：2018-04	作者：探清水河...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：50	
标题：自己做的游戏自己玩不好系列...救我！求测难度！（╯‵□′）╯	链接：http://tieba.baidu.com/p/5994723828	创建时间：1-1	作者：AnmingLs	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：5	
标题：大学物理评估汇总帖	链接：http://tieba.baidu.com/p/2898723855	创建时间：2014-03	作者：心田中的梦	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：51	
标题：上海大学专用课程表app	链接：http://tieba.baidu.com/p/5997505396	创建时间：1-4	作者：Kevin0yan	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：1	
标题：上大20考研 企业管理 求问学长学姐 ！！	链接：http://tieba.baidu.com/p/5997844991	创建时间：1-4	作者：哎哟	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：0	
标题：我能不能问下，上海大学有没有成人继续教育之类的。	链接：http://tieba.baidu.com/p/5849933703	创建时间：2018-08	作者：轻柔的笔尖	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：9	
标题：18上大机械工程已录，有问题，楼下留言。	链接：http://tieba.baidu.com/p/5856805554	创建时间：2018-08	作者：shujom	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：45	
标题：上大19机械考研党呢	链接：http://tieba.baidu.com/p/5898629211	创建时间：2018-09	作者：纠结唉baby	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：130	
标题：构建社工考研之家	链接：http://tieba.baidu.com/p/5997761671	创建时间：1-4	作者：社工考研...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：0	
标题：上大环艺 视觉 都市手工艺考研专业课 有问必答	链接：http://tieba.baidu.com/p/5947032999	创建时间：2018-11	作者：焦焦焦焦...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：35	
标题：2019年上海大学新闻与传播研究专业考研🙋🏻♀️	链接：http://tieba.baidu.com/p/5935451993	创建时间：2018-11	作者：Moon	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：13	
