company,job,link,output_date,salary,work_place
上海莫仕连接器有限公司,Sr. Accountant(Japanese Speaker),http://molex.51job.com/sc/show_job_detail.php?jobid=117996548,10-23,1.5-2万/月,上海-浦东新区
TOD'S,Controlling Intern,https://jobs.51job.com/shanghai-jaq/117997496.html?s=01&t=0,10-23,15元/小时,上海-静安区
菲拉格慕时装贸易（上海）有限公司,Store Keeper 仓库管理员（北京国贸）,https://jobs.51job.com/beijing-cyq/108897973.html?s=01&t=0,10-23,4.5-6千/月,异地招聘
利惠商业（上海）有限公司,货控 Allocator (第三方合同),https://jobs.51job.com/shanghai-jaq/117997260.html?s=01&t=0,10-23,0.8-1万/月,上海-静安区
阅文集团,Java平台架构师,https://jobs.51job.com/shanghai-pdxq/117993232.html?s=01&t=0,10-23,2-3.5万/月,上海-浦东新区
携程旅行网支持区,QA实习生(J14359),https://jobs.51job.com/shanghai-cnq/117997065.html?s=01&t=0,10-23,160元/天,上海-长宁区
斯凯孚（上海）汽车技术有限公司,Maintenance Manager 维修经理,http://skf.51job.com/sc/show_job_detail.php?jobid=117996972,10-23,2-2.5万/月,上海-嘉定区
莫仕（中国）投资有限公司,Sr. Accountant(Japanese Speaker),https://jobs.51job.com/shanghai-ypq/117996666.html?s=01&t=0,10-23,1.5-2万/月,上海-杨浦区
彪马（上海）商贸有限公司 (PUMA),Visual Merchandiser/VM 视觉陈列,https://jobs.51job.com/shanghai-hpq/116447857.html?s=01&t=0,10-23,7-9千/月,上海-黄浦区
dyson,财务实习生,https://jobs.51job.com/shanghai-hpq/117991275.html?s=01&t=0,10-23,1.5-2千/月,上海-黄浦区
艾默生精密工具技术（上海）有限公司,eCommerce Development Manager,http://Emerson.51job.com/sc/show_job_detail.php?jobid=117995940,10-23,1.5-2千/月,上海-松江区
AkzoNobel 阿克苏诺贝尔 - Industrial Coatings,On-site Support Officer,http://career.akzonobel.51job.com/sc/show_job_detail.php?jobid=117753935,10-23,,上海-长宁区
迪卡侬亚太IT中心（decathlon）,Senior Java Developer,https://jobs.51job.com/shanghai-pdxq/110362693.html?s=01&t=0,10-23,2-3万/月,上海-浦东新区
Victoria's Secret,维多利亚的秘密-理货员-上海力宝,https://jobs.51job.com/shanghai-hpq/94186101.html?s=01&t=0,10-23,4.5-6千/月,上海-黄浦区
Tesla特斯拉汽车,客户交付体验专员 Delivery Experience Specialist,https://jobs.51job.com/shanghai/109593354.html?s=01&t=0,10-23,0.8-1.2万/月,上海
惠氏营养品（中国）有限公司,Medical Marketing Manager医务渠道市场经理,https://jobs.51job.com/shanghai-jaq/117994636.html?s=01&t=0,10-23,3.8-4.5万/月,上海-静安区
斯凯孚船舶（上海）有限公司,助理机械工程师,https://jobs.51job.com/shanghai-ptq/109090970.html?s=01&t=0,10-23,1-1.5万/月,上海-普陀区
黛安芬中国-总部,Administration Officer,https://jobs.51job.com/shanghai-hpq/117994132.html?s=01&t=0,10-23,,上海-黄浦区
上海锐澳（RIO）酒业营销有限公司,销售储备干部（应届生）,https://jobs.51job.com/shanghai/116942652.html?s=01&t=0,10-23,5-6.3千/月,上海
空气化工产品(上海)有限公司,Admin Assistant (采购部门助理),https://jobs.51job.com/shanghai-pdxq/117991094.html?s=01&t=0,10-23,,上海-浦东新区
普拉达时装商业（上海）有限公司（Prada）,IT Specialist,https://jobs.51job.com/shanghai-jaq/116659352.html?s=01&t=0,10-23,1-1.5万/月,上海-静安区
LG生活健康（化妆品、日用品）,韩语运营（C2C）,https://jobs.51job.com/shanghai-xhq/116642896.html?s=01&t=0,10-23,,上海-徐汇区
福伊特驱动技术系统（上海）有限公司,Senior Sales Engineer- Oil&Gas NBS North China,http://www.chinajobs.voith.com/jobinfo.php?jobid=117992643,10-23,,上海-闵行区
摩迪（上海）咨询有限公司（Intertek 天祥集团）,催收专员,http://intertek.51job.com/sc/show_job_detail.php?jobid=117992585,10-23,5-7千/月,上海-浦东新区
立邦投资有限公司,薪资核算专员,https://jobs.51job.com/shanghai-pdxq/117992458.html?s=01&t=0,10-23,0.8-1万/月,上海-浦东新区
固安捷全球贸易(上海)有限公司,Product Engineer - 带电类,https://jobs.51job.com/shanghai/116944516.html?s=01&t=0,10-23,1.5-2万/月,上海
携程旅游信息技术（上海）有限公司,投资部实习生,https://jobs.51job.com/shanghai-cnq/117990906.html?s=01&t=0,10-23,3.5-8千/月,上海-长宁区
格瑞夫（中国）控股有限公司,销售主管,https://jobs.51job.com/shanghai/117986711.html?s=01&t=0,10-23,1-1.5万/月,上海
达塔（上海）仓储服务有限公司,销售代表,https://jobs.51job.com/shanghai/117986602.html?s=01&t=0,10-23,1-1.5万/月,上海
花旗银行（中国）有限公司,Compliance Control Analyst,https://jobs.51job.com/shanghai/117984940.html?s=01&t=0,10-23,,上海
上海保利物业酒店管理集团有限公司,安全主管,https://jobs.51job.com/shanghai/116954190.html?s=01&t=0,10-23,18-24万/年,上海
英特尔（中国）有限公司,"Environmental, Health and Safety Engineer",https://jobs.51job.com/shanghai/117989757.html?s=01&t=0,10-23,1.5-2万/月,上海
通力电梯有限公司,TRB Sales Management Officer 销售支持专员,https://jobs.51job.com/shanghai-cnq/112961411.html?s=01&t=0,10-23,5.5-6.5千/月,上海-长宁区
联想集团,存储部件开发 SSD Senior Engineer,https://jobs.51job.com/shanghai-pdxq/117974240.html?s=01&t=0,10-23,2.5-3万/月,上海-浦东新区
龙灯中国,EHS副经理,https://jobs.51job.com/kunshan/117978003.html?s=01&t=0,10-23,,异地招聘
庄信万丰（上海）催化剂有限公司,Finance Manager,https://jobs.51job.com/shanghai-sjq/117096243.html?s=01&t=0,10-23,,上海-松江区
深圳市腾讯计算机系统有限公司,21557- Sr/Principle researcher on video coding standard,https://jobs.51job.com/shanghai/117973976.html?s=01&t=0,10-23,,上海
上海贝塔斯曼商业服务有限公司,销售经理BD Manager,https://jobs.51job.com/shanghai-jaq/117983590.html?s=01&t=0,10-23,2-2.5万/月,上海-静安区
AstraZeneca Global Commercial Organization   阿斯利康 GCO中国,医药代表（呼吸上海）,http://astrazeneca.51job.com/sc/show_job_detail.php?jobid=117398110,10-23,10-15万/年,上海
辉瑞（中国）研究开发有限公司,临床数据管理高级主管,https://jobs.51job.com/shanghai-pdxq/104498546.html?s=01&t=0,10-23,,上海-浦东新区
克丽丝汀迪奥商业（上海）有限公司,Media Executive,https://jobs.51job.com/shanghai-jaq/117986399.html?s=01&t=0,10-23,,上海-静安区
携程旅行网业务区,运营客户经理(J13992),https://jobs.51job.com/shanghai-cnq/117985480.html?s=01&t=0,10-23,0.8-1万/月,上海-长宁区
GE可再生能源,ONW Services & Installation Lean Leader 3370194,http://gechina.51job.com/sc/jobdetail.html?jobid=117985065,10-23,,上海-浦东新区
海尔区域四网融合公司,全屋用水设计师,https://jobs.51job.com/shanghai-pdxq/117983927.html?s=01&t=0,10-23,1-1.5万/月,上海-浦东新区
阿迪达斯体育（中国）有限公司,阿迪达斯龙之梦三叶草店员,https://jobs.51job.com/shanghai-cnq/117983876.html?s=01&t=0,10-23,4-6千/月,上海-长宁区
伊顿电气集团(EATON),Electronics Engineer 电子工程师 #075106,https://jobs.51job.com/shanghai/117983315.html?s=01&t=0,10-23,,上海
毕马威中国 KPMG China,税务研发咨询员,https://jobs.51job.com/shanghai/117982898.html?s=01&t=0,10-23,0.9-1万/月,上海
大金（中国）投资有限公司上海分公司,用户回访管理,https://jobs.51job.com/shanghai-jaq/117953945.html?s=01&t=0,10-23,6-8千/月,上海-静安区
华特迪士尼（中国）有限公司,Creative Coordinator-Contractor,https://jobs.51job.com/shanghai-hpq/117982297.html?s=01&t=0,10-23,,上海-黄浦区
3M中国有限公司,ECommerce Channel Marketer,https://jobs.51job.com/shanghai-cnq/117982168.html?s=01&t=0,10-23,2-2.5万/月,上海-长宁区
company,job,link,output_date,salary,work_place
上海莫仕连接器有限公司,Sr. Accountant(Japanese Speaker),http://molex.51job.com/sc/show_job_detail.php?jobid=117996548,10-23,1.5-2万/月,上海-浦东新区
TOD'S,Controlling Intern,https://jobs.51job.com/shanghai-jaq/117997496.html?s=01&t=0,10-23,15元/小时,上海-静安区
菲拉格慕时装贸易（上海）有限公司,Store Keeper 仓库管理员（北京国贸）,https://jobs.51job.com/beijing-cyq/108897973.html?s=01&t=0,10-23,4.5-6千/月,异地招聘
利惠商业（上海）有限公司,货控 Allocator (第三方合同),https://jobs.51job.com/shanghai-jaq/117997260.html?s=01&t=0,10-23,0.8-1万/月,上海-静安区
阅文集团,Java平台架构师,https://jobs.51job.com/shanghai-pdxq/117993232.html?s=01&t=0,10-23,2-3.5万/月,上海-浦东新区
携程旅行网支持区,QA实习生(J14359),https://jobs.51job.com/shanghai-cnq/117997065.html?s=01&t=0,10-23,160元/天,上海-长宁区
斯凯孚（上海）汽车技术有限公司,Maintenance Manager 维修经理,http://skf.51job.com/sc/show_job_detail.php?jobid=117996972,10-23,2-2.5万/月,上海-嘉定区
莫仕（中国）投资有限公司,Sr. Accountant(Japanese Speaker),https://jobs.51job.com/shanghai-ypq/117996666.html?s=01&t=0,10-23,1.5-2万/月,上海-杨浦区
彪马（上海）商贸有限公司 (PUMA),Visual Merchandiser/VM 视觉陈列,https://jobs.51job.com/shanghai-hpq/116447857.html?s=01&t=0,10-23,7-9千/月,上海-黄浦区
dyson,财务实习生,https://jobs.51job.com/shanghai-hpq/117991275.html?s=01&t=0,10-23,1.5-2千/月,上海-黄浦区
艾默生精密工具技术（上海）有限公司,eCommerce Development Manager,http://Emerson.51job.com/sc/show_job_detail.php?jobid=117995940,10-23,1.5-2千/月,上海-松江区
AkzoNobel 阿克苏诺贝尔 - Industrial Coatings,On-site Support Officer,http://career.akzonobel.51job.com/sc/show_job_detail.php?jobid=117753935,10-23,,上海-长宁区
